
> eventology@0.1.0 dev
> next dev

   ▲ Next.js 16.0.10 (Turbopack)
   - Local:         http://localhost:3000
   - Network:       http://192.168.0.2:3000

 ✓ Starting...
Attention: Next.js now collects completely anonymous telemetry regarding usage.
This information is used to shape Next.js' roadmap and prioritize features.
You can learn more, including how to opt-out if you'd not like to participate in this anonymous program, by visiting the following URL:
https://nextjs.org/telemetry

 ✓ Ready in 1447ms
 ○ Compiling /login ...
 GET / 200 in 32ms (compile: 5ms, render: 27ms)
 GET /api/settings 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/settings 200 in 6ms (compile: 2ms, render: 4ms)
 GET /admin 200 in 100ms (compile: 8ms, render: 92ms)
 GET /api/applications 200 in 10ms (compile: 6ms, render: 5ms)
 GET /api/inquiries 200 in 15ms (compile: 11ms, render: 4ms)
 GET /api/settings 200 in 18ms (compile: 15ms, render: 3ms)
 GET /api/users 200 in 22ms (compile: 19ms, render: 4ms)
 GET /login 200 in 120ms (compile: 5ms, render: 115ms)
 POST /api/auth/login 200 in 15ms (compile: 7ms, render: 8ms)
 GET / 200 in 39ms (compile: 8ms, render: 30ms)
 GET /api/settings 200 in 13ms (compile: 7ms, render: 5ms)
 GET /api/settings 200 in 7ms (compile: 3ms, render: 4ms)
 GET /admin 200 in 140ms (compile: 5ms, render: 135ms)
 GET /api/applications 200 in 9ms (compile: 4ms, render: 6ms)
 GET /api/inquiries 200 in 16ms (compile: 10ms, render: 6ms)
 GET /api/users 200 in 6ms (compile: 2ms, render: 4ms)
 GET /api/settings 200 in 12ms (compile: 9ms, render: 4ms)
 GET /signup 200 in 81ms (compile: 4ms, render: 78ms)
 GET / 200 in 136ms (compile: 5ms, render: 131ms)
 GET /admin 200 in 98ms (compile: 6ms, render: 92ms)
 GET / 200 in 27ms (compile: 5ms, render: 21ms)
 GET /api/settings 200 in 11ms (compile: 5ms, render: 5ms)
 GET /api/settings 200 in 7ms (compile: 2ms, render: 5ms)
 GET / 200 in 115ms (compile: 4ms, render: 112ms)
 GET /api/settings 200 in 15ms (compile: 3ms, render: 12ms)
 POST /api/applications 201 in 10ms (compile: 3ms, render: 6ms)
 GET /login 200 in 82ms (compile: 4ms, render: 78ms)
 POST /api/auth/login 200 in 8ms (compile: 3ms, render: 5ms)
 GET / 200 in 31ms (compile: 5ms, render: 26ms)
 GET /api/settings 200 in 6ms (compile: 3ms, render: 4ms)
 GET /api/settings 200 in 6ms (compile: 2ms, render: 4ms)
 GET /admin 200 in 115ms (compile: 10ms, render: 105ms)
 GET /api/applications 200 in 8ms (compile: 3ms, render: 5ms)
 GET /api/inquiries 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/settings 200 in 12ms (compile: 8ms, render: 3ms)
 GET /api/users 200 in 6ms (compile: 2ms, render: 3ms)
 GET /login 200 in 84ms (compile: 5ms, render: 79ms)
 POST /api/auth/login 200 in 12ms (compile: 7ms, render: 5ms)
 GET / 200 in 32ms (compile: 12ms, render: 20ms)
 GET /api/settings 200 in 14ms (compile: 8ms, render: 6ms)
 GET /admin 200 in 89ms (compile: 8ms, render: 82ms)
 GET /api/applications 200 in 8ms (compile: 4ms, render: 4ms)
 GET /api/inquiries 200 in 12ms (compile: 9ms, render: 3ms)
 GET /api/settings 200 in 7ms (compile: 3ms, render: 4ms)
 GET /api/users 200 in 10ms (compile: 7ms, render: 3ms)
